117929	One Time Vendor	2012-11-30 00:00:00	-7061.000
10006915	Hansa Logistik eG	2012-12-31 00:00:00	-6341.000
20321	Leverandrrer til oprettelse	2013-01-07 00:00:00	-15.000
3000063013	Arla Foods plc	2013-01-10 00:00:00	-20663.000
3000063013	Arla Foods plc	2013-01-10 00:00:00	-20663.000
1225756	KPMG	2012-12-28 00:00:00	-28875.000
1225759	KPMG	2012-12-28 00:00:00	-21452.000
117929	One Time Vendor	2012-11-30 00:00:00	-7061.000
587130	Llsepartner  Slagelse	2013-01-25 00:00:00	-4696.000
638432	EUREST A/S	2013-01-31 00:00:00	-123333.000
14442	AUTOBLOM	2013-02-08 00:00:00	-2413.000
318461	EUROPART Danmark A/S	2013-02-04 00:00:00	-11929.000
318461	EUROPART Danmark A/S	2013-02-04 00:00:00	-11929.000
638432	EUREST A/S	2013-01-31 00:00:00	-123333.000
14442	AUTOBLOM	2013-02-08 00:00:00	-2413.000
2790	Niels Hansen A/S	2013-01-02 00:00:00	-14781.000
262223	Dansk Lift A/S	2013-02-05 00:00:00	-48814.000
15520	Scanca ApS	2013-01-23 00:00:00	-1225.000
188	Krosch	2013-02-26 00:00:00	-24.000
191	KROSCH	2013-02-28 00:00:00	-96.000
